date,stock_id,stock_name,trade_volume,trade_value,open_price,high_price,low_price,close_price,price_change,transaction_count
2026-01-26,6838,台新藥,858122,25864392,31.0,31.1,29.45,30.05,-1.55,683
2026-01-26,6854,錼創科技-KY創,1087960,128072542,113.0,122.5,111.0,121.0,9.5,1196
2026-01-26,6861,睿生光電,172553,11623098,66.1,68.5,66.1,67.0,1.0,205
2026-01-26,6862,三集瑞-KY,417660,78315243,188.5,190.0,185.5,188.0,-0.5,660
2026-01-26,6863,永道-KY,82880,9568699,117.0,117.0,114.5,115.5,-1.0,263
2026-01-26,6869,雲豹能源,6280139,752065650,122.5,123.5,116.0,120.0,2.0,5063
2026-01-26,6873,泓德能源,707482,84631543,120.0,122.5,117.5,120.0,1.0,952
2026-01-26,6885,全福生技,268392,7515857,28.5,28.5,27.7,28.05,0.0,246
2026-01-26,6887,寶綠特-KY,3000,182200,60.7,60.8,60.7,60.8,0.8,3
2026-01-26,6890,來億-KY,386859,91789698,239.0,241.5,233.5,238.0,-1.0,552
2026-01-26,6901,鑽石投資,1839405,33525222,17.8,18.7,17.75,18.55,0.95,1034
2026-01-26,6902,GOGOLOOK,51485,4095621,79.9,80.5,78.3,79.0,-1.0,108
2026-01-26,6906,現觀科,26887,2108271,79.0,79.6,77.9,78.9,0.1,84
2026-01-26,6909,創控,553159,25649681,46.8,47.65,45.85,45.85,-1.0,476
2026-01-26,6914,阜爾運通,94875,13656753,143.5,144.5,143.0,143.5,0.0,135
2026-01-26,6916,華凌,151314,2856686,18.9,19.05,18.8,19.0,-0.3,83
2026-01-26,6918,愛派司,29112,2352462,81.1,81.1,80.5,80.5,-0.6,40
2026-01-26,6919,康霈*,9432731,1484375558,155.5,160.0,152.5,159.0,-9.5,14635
2026-01-26,6921,嘉雨思-創,133942,9522016,71.6,74.8,68.2,74.8,6.8,148
2026-01-26,6923,中台,443058,43570639,99.3,99.6,97.5,97.6,-2.0,480
2026-01-26,6924,榮惠-KY創,22001,1448765,66.9,66.9,64.6,64.9,-2.9,16
2026-01-26,6928,攸泰科技,219979,12312402,55.9,57.1,55.1,56.4,1.3,193
2026-01-26,6931,青松健康,172781,9738664,57.3,57.3,55.8,56.2,0.2,126
2026-01-26,6933,AMAX-KY,83244,12019789,145.0,146.0,142.5,143.5,0.0,114
2026-01-26,6936,永鴻生技,47085,1665326,35.4,35.5,35.2,35.35,-0.05,50
2026-01-26,6937,天虹,162064,35063459,216.0,217.5,215.5,215.5,-1.5,363
2026-01-26,6944,兆聯實業,548992,405437100,752.0,755.0,732.0,733.0,-15.0,1899
2026-01-26,6949,沛爾生醫-創,578263,265250229,435.5,473.0,426.0,473.0,43.0,654
2026-01-26,6951,青新-創,80611,6033808,75.2,75.2,74.5,74.5,-0.9,256
2026-01-26,6952,大武山,18734,802641,42.3,43.0,42.3,43.0,0.25,24
2026-01-26,6955,邦睿生技-創,37,6021,0.0,0.0,0.0,0.0,0.0,8
2026-01-26,6957,裕慶-KY,41939,7764343,188.0,188.0,182.5,182.5,-5.5,120
2026-01-26,6958,日盛台駿,38418,584948,15.6,15.6,15.1,15.2,-0.2,54
2026-01-26,6958A,日盛台駿甲特,26000,497200,19.1,19.15,19.1,19.15,0.05,14
2026-01-26,6962,奕力-KY,4376494,176735962,39.8,41.25,39.8,40.0,0.3,2864
2026-01-26,6965,中傑-KY,35753,2961566,83.4,83.8,82.0,83.4,0.0,74
2026-01-26,6969,成信實業*-創,30054,1006577,34.2,34.25,32.8,33.8,0.55,35
2026-01-26,6988,威力暘-創,67472,1285370,18.5,19.4,18.45,19.2,0.1,36
2026-01-26,6994,富威電力,667039,64358783,96.9,97.7,94.5,97.0,1.6,793
2026-01-26,7610,聯友金屬-創,730631,141338805,189.0,197.0,187.0,193.5,4.5,1620
